,Unnamed: 0,Account_ID,Name,Twitter_username,Political_party
393,620,1061310112013434882,Dean Phillips,deanbphillips,Democratic Party
394,622,1071402577,Deb Fischer,SenatorFischer,Republican Party
395,624,59161755,Deb Goldberg,masstreasury,Democratic Party
398,629,996094929733652481,Debbie Lesko,RepDLesko,Republican Party
399,630,750046943905058816,Debbie Mucarsel-Powell,DebbieforFL,Democratic Party
400,631,76456274,Debbie Stabenow,SenStabenow,Democratic Party
401,632,115979444,Debbie Wasserman Schultz,DWStweets,Democratic Party
402,633,2970279814,Deborah Dingell,RepDebDingell,Democratic Party
403,634,3806081652,Deborah K. Ross,DeborahRossNC,Democratic Party
407,638,153857050,Denise Driehaus,DeniseDriehaus,Democratic Party
408,640,242146618,Denise Merrill,SOTSMerrill,Democratic Party
409,641,3537275536,Dennis A. Ross,AmbDennisRoss,Republican Party
411,645,234406945,Dennis Daugaard,SDGovDaugaard,Republican Party
412,646,1068499286,Dennis Heck,RepDennyHeck,Democratic Party
413,647,106237226,Dennis K. Baxley,dennisbaxley,Republican Party
414,648,15022633,Dennis Kucinich,dennis_kucinich,Democratic Party
415,649,1080504024695222273,Denver Riggleman,RepRiggleman,Republican Party
416,650,1058917562,Derek Kilmer,RepDerekKilmer,Democratic Party
417,651,61636488,Deval Patrick,devalpatrick,Democratic Party
419,653,28599820,Diana DeGette,RepDianaDeGette,Democratic Party
423,657,14943778,Diane Russell,MissWrite,Democratic Party
424,659,80890505,Diane Savino,dianesavino,Democratic Party
425,660,476256944,Dianne Feinstein,SenFeinstein,Democratic Party
426,661,247334603,Dick Durbin,SenatorDurbin,Democratic Party
428,665,122174004,Dina Titus,RepDinaTitus,Democratic Party
429,666,91882544,Dinesh D'Souza,DineshDSouza,Republican Party
431,668,818975124460335106,Don Bacon,repdonbacon,Republican Party
432,669,2962868158,Don Beyer,RepDonBeyer,Democratic Party
433,670,48762458,Don Blankenship,DonBlankenship,Republican Party
434,672,365051475,Don Ness,Ness_Duluth,Minnesota Democratic–Farmer–Labor Party
436,675,3122099613,Donald Norcross,DonaldNorcross,Democratic Party
437,676,1155335864,"Donald Payne, Jr.",RepDonaldPayne,Democratic Party
439,681,60919240,Donna Brazile,donnabrazile,Democratic Party
440,682,68920859,Donna Campbell,DonnaCampbellTX,Republican Party
442,684,112899475,Donna Howard,DonnaHowardTX,Democratic Party
444,686,737719829579345920,Donna Shalala,DonnaShalala,Democratic Party
446,690,38254095,Doris Matsui,DorisMatsui,Democratic Party
447,693,518700708,Doug Burgum,DougBurgum,Republican Party
448,694,805856929813663744,Doug Chin,AtghIgov,Democratic Party
449,695,1060487274,Doug Collins,RepDougCollins,Republican Party
450,696,20217019,Doug Ducey,dougducey,Republican Party
452,698,532702053,Doug La Follette,douglafollette,Democratic Party
453,699,1069124515,Doug LaMalfa,RepLaMalfa,Republican Party
454,701,584012853,Doug Lamborn,RepDLamborn,Republican Party
455,702,2963960540,Doug Peterson,AGDougPeterson,Republican Party
456,703,50718079,Dow Constantine,kcexec,Democratic Party
457,704,806583915012046854,Drew Ferguson,RepDrewFerguson,Republican Party
458,705,381552927,"Drew Springer, Jr.",DrewSpringer,Republican Party
461,708,140529899,Dusty Johnson,RepDustyJohnson,Republican Party
462,710,1074782372594413569,Dusty Johnson,RepDustyJohnson,Republican Party
463,712,305620929,Dutch Ruppersberger,Call_Me_Dutch,Democratic Party
464,713,90639372,Dwight E. Evans,RepDwightEvans,Democratic Party
465,714,15954997,Earl Blumenauer,repblumenauer,Democratic Party
467,716,1081350574589833221,Ed Case,RepEdCase,Democratic Party
471,723,21406834,Ed Markey,SenMarkey,Democratic Party
473,725,20552026,Ed Perlmutter,RepPerlmutter,Democratic Party
474,726,829797714,Ed Rendell,govedrendell,Democratic Party
477,729,168502762,Eddie Bernice Johnson,RepEBJ,Democratic Party
479,731,242883110,Edward Asner,TheOnlyEdAsner,Democratic Party
480,733,3364353053,Edward F. Cox,chairmanedcox,Republican Party
485,738,236968152,Eileen Filler-Corn,EFillerCorn,Democratic Party
487,741,950111395378597888,Elaine Luria,ElaineLuriaVA,Democratic Party
488,742,23600262,Eleanor Holmes Norton,EleanorNorton,Democratic Party
490,745,164007407,Eliot Engel,RepEliotEngel,Democratic Party
491,746,2962813893,Elise Stefanik,RepStefanik,Republican Party
492,748,109579534,Elise Stefanik,RepStefanik,Republican Party
493,751,1078401427347857408,Elissa Slotkin,RepSlotkin,Democratic Party
494,753,860547911268139008,Elissa Slotkin,RepSlotkin,Democratic Party
495,755,816719802328715264,Elizabeth Cheney,RepLizCheney,Republican Party
